datetime,BTCUSDT,ETHUSDT
2023-11-25 06:19:00,37812.55,2084.11
2023-11-25 06:20:00,37795.17,2084.44
2023-11-25 06:21:00,37795.17,2084.44
2023-11-25 06:22:00,37812.42,2084.44
2023-11-25 06:23:00,37812.42,2084.44
2023-11-25 06:24:00,37813.39,2083.0
2023-11-25 06:25:00,37799.52,2083.0
2023-11-25 06:26:00,37799.52,2083.0
2023-11-25 06:27:00,37807.66,2083.0
2023-11-25 06:28:00,37807.66,2083.0
2023-11-25 06:29:00,37813.17,2083.0
2023-11-25 06:30:00,37799.52,2082.92
2023-11-25 06:31:00,37794.42,2082.92
2023-11-25 06:32:00,37810.81,2082.92
2023-11-25 06:33:00,37794.43,2082.92
2023-11-25 06:34:00,37794.43,2082.92
2023-11-25 06:35:00,37808.49,2082.92
2023-11-25 06:36:00,37794.43,2082.92
2023-11-25 06:37:00,37794.43,2082.92
2023-11-25 06:38:00,37794.41,2082.92
2023-11-25 06:39:00,37794.41,2082.92
2023-11-25 06:40:00,37803.29,2081.68
2023-11-25 06:41:00,37783.59,2081.41
2023-11-25 06:42:00,37792.55,2081.41
2023-11-25 06:43:00,37792.42,2081.41
2023-11-25 06:44:00,37797.56,2083.36
2023-11-25 06:45:00,37792.42,2083.36
2023-11-25 06:46:00,37775.68,2083.57
2023-11-25 06:47:00,37774.22,2084.01
2023-11-25 06:48:00,37801.61,2082.26
2023-11-25 06:49:00,37781.25,2082.8
2023-11-25 06:50:00,37809.17,2085.62
2023-11-25 06:51:00,37799.79,2085.95
2023-11-25 06:52:00,37799.79,2085.46
2023-11-25 06:53:00,37799.81,2085.46
2023-11-25 06:54:00,37793.71,2085.46
2023-11-25 06:55:00,37797.58,2085.46
2023-11-25 06:56:00,37795.47,2085.46
2023-11-25 06:57:00,37796.26,2085.46
2023-11-25 06:58:00,37798.8,2085.46
2023-11-25 06:59:00,37798.8,2085.46
2023-11-25 07:00:00,37798.8,2085.86
2023-11-25 07:01:00,37811.26,2086.66
2023-11-25 07:02:00,37789.76,2086.19
2023-11-25 07:03:00,37820.52,2086.19
2023-11-25 07:04:00,37816.38,2087.79
2023-11-25 07:05:00,37821.25,2085.71
2023-11-25 07:06:00,37802.61,2085.71
2023-11-25 07:07:00,37788.85,2085.71
2023-11-25 07:08:00,37752.61,2085.71
2023-11-25 07:09:00,37790.24,2085.41
2023-11-25 07:10:00,37790.21,2085.4
2023-11-25 07:11:00,37777.54,2085.4
2023-11-25 07:12:00,37776.81,2085.4
2023-11-25 07:13:00,37756.6,2085.4
2023-11-25 07:14:00,37755.53,2083.69
2023-11-25 07:15:00,37740.01,2083.69
2023-11-25 07:16:00,37746.5,2083.64
2023-11-25 07:17:00,37761.64,2083.27
2023-11-25 07:18:00,37761.1,2083.27
2023-11-25 07:19:00,37761.32,2083.27
2023-11-25 07:20:00,37761.26,2085.74
2023-11-25 07:21:00,37774.18,2085.73
2023-11-25 07:22:00,37751.21,2088.0
2023-11-25 07:23:00,37744.98,2087.46
2023-11-25 07:24:00,37774.14,2087.93
2023-11-25 07:25:00,37745.44,2087.14
2023-11-25 07:26:00,37774.2,2087.86
2023-11-25 07:27:00,37754.28,2088.87
2023-11-25 07:28:00,37754.55,2088.87
2023-11-25 07:29:00,37778.78,2088.87
2023-11-25 07:30:00,37754.58,2088.87
2023-11-25 07:31:00,37778.8,2088.87
2023-11-25 07:32:00,37756.33,2088.87
2023-11-25 07:33:00,37778.8,2088.87
2023-11-25 07:34:00,37778.8,2087.47
2023-11-25 07:35:00,37778.8,2087.47
2023-11-25 07:36:00,37778.8,2087.47
2023-11-25 07:37:00,37757.09,2087.47
2023-11-25 07:38:00,37757.09,2087.68
2023-11-25 07:39:00,37768.2,2086.6
2023-11-25 07:40:00,37757.09,2086.6
2023-11-25 07:41:00,37757.09,2086.6
2023-11-25 07:42:00,37778.8,2086.6
2023-11-25 07:43:00,37780.7,2086.6
2023-11-25 07:44:00,37780.69,2086.6
2023-11-25 07:45:00,37780.69,2086.6
2023-11-25 07:46:00,37792.85,2086.6
2023-11-25 07:47:00,37798.29,2086.6
2023-11-25 07:48:00,37781.19,2086.6
2023-11-25 07:49:00,37813.42,2086.6
2023-11-25 07:50:00,37781.83,2086.6
2023-11-25 07:51:00,37813.26,2087.55
2023-11-25 07:52:00,37813.26,2087.55
2023-11-25 07:53:00,37813.26,2087.55
2023-11-25 07:54:00,37813.26,2087.55
2023-11-25 07:55:00,37813.26,2087.55
2023-11-25 07:56:00,37813.26,2087.55
2023-11-25 07:57:00,37803.8,2087.55
2023-11-25 07:58:00,37794.37,2089.57
2023-11-25 07:59:00,37780.73,2089.65
2023-11-25 08:00:00,37780.73,2089.65
2023-11-25 08:01:00,37800.9,2089.65
